,Test Accuracy,Precision,Recall,F1 Score,MCC,Confusion Matrix
Logistic Regression,0.6348314606741573,0.6363636363636364,0.9911504424778761,0.7750865051903113,0.029852039360420794,[  6 384   6 672]
Decision Tree,0.9953183520599251,0.9985185185185185,0.9941002949852508,0.9963045084996305,0.9899370073341656,[389   1   4 674]
Random Forest,0.9990636704119851,0.9985272459499264,1.0,0.9992630803242447,0.9979814225115915,[389   1   0 678]
XGBoost,0.99812734082397,0.9985250737463127,0.9985250737463127,0.9985250737463127,0.9959609711822102,[389   1   1 677]
LightGBM,0.9962546816479401,0.9955882352941177,0.9985250737463127,0.9970544918998527,0.9919212430083755,[387   3   1 677]
CatBoost,0.9990636704119851,0.9985272459499264,1.0,0.9992630803242447,0.9979814225115915,[389   1   0 678]
SVC,0.6348314606741573,0.6348314606741573,1.0,0.7766323024054983,0.0,[  0 390   0 678]
KNN,0.5749063670411985,0.6424936386768448,0.7448377581120944,0.6898907103825137,0.026568256662753136,[109 281 173 505]
Naive Bayes,0.6432584269662921,0.6402266288951841,1.0,0.7806563039723662,0.12155023927089548,[  9 381   0 678]
MLP,0.5084269662921348,0.6485436893203883,0.49262536873156343,0.5599329421626151,0.027483573314391642,[209 181 344 334]
AdaBoost,0.9850187265917603,0.9882005899705014,0.9882005899705014,0.9882005899705014,0.967687769457681,[382   8   8 670]
Extra Trees,0.9812734082397003,0.9852507374631269,0.9852507374631269,0.9852507374631269,0.9596097118221012,[380  10  10 668]
