iter	Passed	Remaining
0	48	48887
1	50	25161
2	51	17242
3	53	13292
4	54	10937
5	56	9343
6	57	8210
7	59	7379
8	61	6729
9	62	6198
10	64	5763
11	65	5399
12	67	5088
13	68	4843
14	70	4619
15	71	4416
16	73	4248
17	74	4085
18	76	3941
19	77	3817
20	79	3711
21	81	3606
22	82	3510
23	84	3419
24	85	3338
25	87	3270
26	88	3200
27	90	3136
28	91	3076
29	93	3024
30	95	2970
31	96	2919
32	98	2872
33	99	2832
34	101	2790
35	102	2749
36	104	2711
37	105	2675
38	107	2641
39	108	2609
40	110	2578
41	111	2547
42	113	2519
43	114	2493
44	116	2467
45	117	2446
46	119	2421
47	121	2401
48	122	2379
49	124	2357
50	125	2336
51	127	2315
52	128	2297
53	130	2279
54	131	2261
55	133	2244
56	134	2227
57	136	2214
58	137	2199
59	139	2183
60	140	2168
61	142	2154
62	143	2139
63	145	2124
64	146	2111
65	148	2098
66	149	2085
67	151	2074
68	153	2065
69	154	2052
70	156	2043
71	157	2033
72	159	2022
73	160	2014
74	162	2002
75	163	1991
76	165	1983
77	166	1973
78	168	1964
79	170	1955
80	171	1944
81	172	1935
82	174	1925
83	175	1916
84	177	1910
85	178	1901
86	180	1895
87	182	1887
88	183	1879
89	185	1873
90	186	1865
91	188	1857
92	189	1850
93	191	1842
94	192	1835
95	194	1827
96	195	1820
97	197	1813
98	198	1806
99	200	1801
100	201	1794
101	203	1788
102	204	1782
103	206	1775
104	207	1769
105	209	1763
106	210	1757
107	212	1752
108	213	1746
109	215	1741
110	216	1735
111	218	1729
112	219	1725
113	221	1719
114	222	1713
115	224	1708
116	225	1703
117	227	1697
118	228	1692
119	230	1687
120	231	1683
121	233	1678
122	234	1675
123	236	1671
124	238	1666
125	239	1662
126	241	1658
127	242	1653
128	244	1649
129	245	1644
130	247	1640
131	248	1636
132	250	1633
133	252	1629
134	253	1624
135	255	1620
136	256	1616
137	258	1611
138	259	1607
139	261	1604
140	262	1600
141	264	1595
142	265	1591
143	266	1587
144	268	1584
145	270	1580
146	271	1576
147	273	1572
148	274	1569
149	276	1565
150	277	1561
151	279	1557
152	280	1553
153	282	1550
154	283	1546
155	285	1543
156	286	1539
157	288	1535
158	289	1532
159	291	1530
160	292	1526
161	294	1522
162	296	1520
163	297	1517
164	299	1513
165	300	1510
166	302	1506
167	303	1503
168	304	1499
169	306	1497
170	308	1493
171	309	1490
172	311	1486
173	312	1484
174	314	1480
175	315	1477
176	317	1474
177	318	1470
178	320	1467
179	321	1464
180	322	1461
181	324	1458
182	325	1454
183	327	1451
184	328	1448
185	330	1445
186	331	1442
187	333	1439
188	334	1436
189	336	1434
190	337	1431
191	339	1429
192	341	1426
193	342	1424
194	344	1421
195	345	1419
196	348	1418
197	349	1415
198	351	1412
199	352	1409
200	354	1407
201	355	1405
202	357	1403
203	359	1401
204	360	1398
205	362	1396
206	363	1393
207	365	1390
208	366	1387
209	368	1385
210	369	1382
211	371	1379
212	372	1377
213	374	1374
214	375	1372
215	377	1369
216	378	1367
217	380	1364
218	381	1361
219	383	1359
